Year,Year_num,Site_Code,Orchard_Block,Alleyway_treatment,Distance,Section,Total,Richness,Shannon,Honeybee,Buff_tailed_bumblebee,Bumblebee,Solitary_bee,Hoverfly,Blossoms,Fruit_set,Percentage_Fruit_set,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,2017,Site_5,Orchard_Block_10,AMWS,28.5,Section 19-38,1.083333333,0.625,0.074250494,0.791666667,0.222222222,0.013888889,0,0.055555556,,10,,8.4775,26.15,25.785,23.16,64.5,0.938
Year_1,2017,Site_5,Orchard_Block_10,AMWS,47.5,Section 38-57,1.083333333,0.638888889,0.109105277,0.638888889,0.333333333,0.055555556,0,0.055555556,,9.5,,8.715789474,26.61052632,26.35789474,23.35263158,63.05263158,1.005789474
Year_1,2017,Site_5,Orchard_Block_10,AMWS,66.5,Section 57-76,0.833333333,0.527777778,0.056914986,0.375,0.388888889,0.013888889,0,0.055555556,,8.5,,11.76705882,28.62941176,29.3,25.55882353,62.94117647,1.724705882
Year_1,2017,Site_5,Orchard_Block_10,CS,9.5,Section 0-19,1.342465753,0.835616438,0.15182856,0.726027397,0.465753425,0.04109589,0,0.109589041,,10,,9.0735,26.925,26.445,23.61,61.4,0.966
Year_1,2017,Site_5,Orchard_Block_10,CS,28.5,Section 19-38,1.070422535,0.647887324,0.095385116,0.605633803,0.295774648,0.014084507,0.014084507,0.14084507,,10,,9.9005,27.68,27.55,24.225,60.2,1.1055
Year_1,2017,Site_5,Orchard_Block_10,CS,47.5,Section 38-57,1.055555556,0.583333333,0.103208984,0.736111111,0.236111111,0.013888889,0,0.069444444,,9,,8.244444444,26.48333333,25.5,22.93888889,71.33333333,0.884444444
Year_1,2017,Site_5,Orchard_Block_10,CS,66.5,Section 57-76,1.013888889,0.625,0.100087629,0.597222222,0.361111111,0,0,0.055555556,,10,,10.239,27.955,27.595,24.68,59.25,1.2325
Year_1,2017,Site_5,Orchard_Block_10,SWS,9.5,Section 0-19,1.458333333,0.75,0.133640191,0.930555556,0.347222222,0.041666667,0.013888889,0.125,,10,,11.8245,29.52,29.47,25.015,60.1,1.488
Year_1,2017,Site_5,Orchard_Block_10,SWS,28.5,Section 19-38,1.263888889,0.722222222,0.135118794,0.763888889,0.430555556,0.013888889,0.013888889,0.041666667,,9,,9.076111111,27.53888889,26.59444444,23.64444444,69.94444444,0.944444444
Year_1,2017,Site_5,Orchard_Block_10,SWS,47.5,Section 38-57,1.729166667,0.833333333,0.192529884,1.125,0.5625,0.020833333,0,0.020833333,,9,,10.46555556,28.38888889,28,24.94444444,58.66666667,1.142222222
Year_1,2017,Site_5,Orchard_Block_9,AMWS,9.5,Section 0-19,1.305555556,0.555555556,0.066364527,1.083333333,0.166666667,0,0,0.055555556,,9,,11.63277778,29.05,29.19444444,25.10555556,65.33333333,1.821111111
Year_1,2017,Site_5,Orchard_Block_9,AMWS,28.5,Section 19-38,0.736111111,0.486111111,0.051375604,0.527777778,0.097222222,0.069444444,0,0.041666667,,9,,12.91421053,29.74736842,30.13157895,26.30526316,73,2.408421053
Year_1,2017,Site_5,Orchard_Block_9,AMWS,47.5,Section 38-57,0.597222222,0.375,0.061002648,0.458333333,0.111111111,0.013888889,0.013888889,0,,9.5,,12.64157895,29.61578947,29.96315789,26.14210526,66.89473684,2.144736842
Year_1,2017,Site_5,Orchard_Block_9,AMWS,66.5,Section 57-76,0.5,0.375,0.035138927,0.291666667,0.138888889,0.027777778,0,0.041666667,,10,,12.3915,29.32,29.215,25.84,70.85,2.3495
Year_1,2017,Site_5,Orchard_Block_9,CS,9.5,Section 0-19,1.194444444,0.652777778,0.127084862,0.819444444,0.236111111,0.069444444,0,0.069444444,,10,,11.5165,28.655,29,25.01,68.8,1.793
Year_1,2017,Site_5,Orchard_Block_9,CS,28.5,Section 19-38,0.722222222,0.5,0.053585722,0.458333333,0.166666667,0.055555556,0,0.041666667,,9,,10.98944444,27.70555556,28.43333333,24.91666667,69.5,1.963888889
Year_1,2017,Site_5,Orchard_Block_9,CS,47.5,Section 38-57,0.361111111,0.305555556,0.009627044,0.125,0.194444444,0.027777778,0,0.013888889,,8,,11.7025,28.8375,28.95,25.8125,73.1875,1.830625
Year_1,2017,Site_5,Orchard_Block_9,CS,66.5,Section 57-76,0.388888889,0.305555556,0.018467519,0.083333333,0.236111111,0,0,0.069444444,,10,,12.055,28.8,29.125,25.675,69.55,2.113
Year_1,2017,Site_5,Orchard_Block_9,SWS,9.5,Section 0-19,0.597222222,0.388888889,0.052555458,0.388888889,0.097222222,0.083333333,0,0.027777778,,8.5,,11.28647059,28.62352941,29.10588235,25.10588235,64.29411765,1.834117647
Year_1,2017,Site_5,Orchard_Block_9,SWS,28.5,Section 19-38,0.430555556,0.277777778,0.028094563,0.291666667,0.069444444,0.041666667,0,0.027777778,,10,,13.12,30.18947368,29.95263158,26.45263158,69.36842105,2.293157895
